sku,base_code,product_name,department,class_name,shopping_category,gender,gender_tags,color_tags,size_tags,store_count,total_stock,mrp,sale_price,usage_tags,workout_tags,discomfort_tags,priority_tag,social_tags,offer_tags,manual_recovery_override,image_link,recommend_reason,shopping_apparel,shopping_footwear,shopping_accessories,supports_female,supports_male,workout_cardio,workout_strength,workout_flexibility,workout_sports,workout_others,issue_foot_leg_discomfort,issue_back_shoulder_pain,issue_other_recovery,issue_no_issues,priority_style_first,priority_function_first,priority_both_equally,social_alone,social_with_friend_partner,social_group_classes
BOTFGPCEVQMW7ZAB,,Shaker,Accessories,Shakers,accessories,Unisex,female|male,,,0,0,0,0,,cardio|flexibility|sports|strength,,function_first,alone|group_classes|with_friend_partner,add_on|group_bundle|pairable,0,,workouts:cardio/flexibility/sports/strength | priority:function_first | social:alone/group_classes/with_friend_partner,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1
CS2.2LGLBPK,,Gallon Bottle 2.2 Ltr Pink,Accessories,Bottle,accessories,Unspecified,female|male,,,0,0,0,0,,cardio|flexibility|sports|strength,,function_first,alone|group_classes|with_friend_partner,add_on|group_bundle|pairable,0,,workouts:cardio/flexibility/sports/strength | priority:function_first | social:alone/group_classes/with_friend_partner,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1
CS601131,,Cult Boxing Gloves for Men & Women  Foam Padding  Punching Bag Gloves for Boxing; Training; Kickboxing; Muay Thai; MMA  Black,Accessories,Boxing Gloves,accessories,Unisex,female|male,,,0,0,0,0,,sports|strength,,function_first,alone|group_classes|with_friend_partner,group_bundle|pairable,0,,workouts:sports/strength | priority:function_first | social:alone/group_classes/with_friend_partner,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1
CS601132,,Cult Boxing Gloves for Men & Women  Foam Padding  Punching Bag Gloves for Boxing; Training; Kickboxing; Muay Thai; MMA  Black,Accessories,Boxing Gloves,accessories,Unisex,female|male,,,0,0,0,0,,sports|strength,,function_first,alone|group_classes|with_friend_partner,group_bundle|pairable,0,,workouts:sports/strength | priority:function_first | social:alone/group_classes/with_friend_partner,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1
CS601134,,Cult Boxing Gloves for Men & Women  Foam Padding  Punching Bag Gloves for Boxing; Training; Kickboxing; Muay Thai; MMA  Black,Accessories,Boxing Gloves,accessories,Unisex,female|male,,,0,0,0,0,,sports|strength,,function_first,alone|group_classes|with_friend_partner,group_bundle|pairable,0,,workouts:sports/strength | priority:function_first | social:alone/group_classes/with_friend_partner,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1
CS601484,,Unisex Black Duffle Bag,Accessories,Duffle Bag,accessories,Unisex,female|male,,,0,0,0,0,,cardio|flexibility|sports|strength,,both_equally,alone|group_classes|with_friend_partner,add_on|group_bundle|pairable,0,,workouts:cardio/flexibility/sports/strength | priority:both_equally | social:alone/group_classes/with_friend_partner,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1
CS601485,,Unisex Black Gym Bag,Accessories,Duffle Bag,accessories,Unisex,female|male,,,0,0,0,0,,strength,,both_equally,alone|group_classes|with_friend_partner,add_on|group_bundle|pairable,0,,workouts:strength | priority:both_equally | social:alone/group_classes/with_friend_partner,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1
CS601486,,Unisex Grey Duffle Bag,Accessories,Duffle Bag,accessories,Unisex,female|male,,,0,0,0,0,,cardio|flexibility|sports|strength,,both_equally,alone|group_classes|with_friend_partner,add_on|group_bundle|pairable,0,,workouts:cardio/flexibility/sports/strength | priority:both_equally | social:alone/group_classes/with_friend_partner,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1
CS6TPEPRYMBL,,Cult 6MM TPE Perfume Mat Blue WB,Accessories,Yoga Mat,accessories,Unspecified,female|male,,,0,0,0,0,,flexibility,,function_first,alone|group_classes,group_bundle,0,,workouts:flexibility | priority:function_first | social:alone/group_classes,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1
CS6TPEPRYMGR,,CULT 6MM TPE Perfume Mat Army Green WB,Accessories,Yoga Mat,accessories,Unspecified,female|male,,,0,0,0,0,,flexibility,,function_first,alone|group_classes,group_bundle,0,,workouts:flexibility | priority:function_first | social:alone/group_classes,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1
CS6TPEPRYMWI,,CULT 6MM TPE Perfume Mat Wine WB,Accessories,Yoga Mat,accessories,Unspecified,female|male,,,0,0,0,0,,flexibility,,function_first,alone|group_classes,group_bundle,0,,workouts:flexibility | priority:function_first | social:alone/group_classes,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1
CS700026,,MuscleRollerStick,Accessories,Roller Stick,accessories,Unisex,female|male,,,0,0,0,0,,others,,both_equally,alone,,0,,workouts:others | priority:both_equally | social:alone,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
CS700050,,MENS ANKLE LENGTH SOCKS,Accessories,Socks,accessories,Unisex,female|male,,,0,0,0,0,,cardio|flexibility|sports|strength,foot_leg_discomfort,function_first,alone,add_on,0,,workouts:cardio/flexibility/sports/strength | recovery:foot_leg_discomfort | priority:function_first | social:alone,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0
CS700051,,Mens Low Cut Socks,Accessories,Socks,accessories,Unisex,female|male,,,0,0,0,0,,cardio|flexibility|sports|strength,foot_leg_discomfort,function_first,alone,add_on,0,,workouts:cardio/flexibility/sports/strength | recovery:foot_leg_discomfort | priority:function_first | social:alone,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0
CS700053,,WOMENS LOW CUT SOCKS,Accessories,Socks,accessories,Unisex,female|male,,,0,0,0,0,,cardio|flexibility|sports|strength,foot_leg_discomfort,function_first,alone,add_on,0,,workouts:cardio/flexibility/sports/strength | recovery:foot_leg_discomfort | priority:function_first | social:alone,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0
CS700055,,WOMENS SHOE LINER SOCKS,Accessories,Socks,accessories,Unisex,female|male,,,0,0,0,0,,cardio|flexibility|sports|strength,foot_leg_discomfort,function_first,alone,add_on,0,,workouts:cardio/flexibility/sports/strength | recovery:foot_leg_discomfort | priority:function_first | social:alone,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0
CS700521,,Unisex Swimming Cap,Accessories,Swimming Cap,accessories,Unisex,female|male,,,0,0,0,0,,sports,,both_equally,alone|group_classes|with_friend_partner,group_bundle|pairable,0,,workouts:sports | priority:both_equally | social:alone/group_classes/with_friend_partner,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1
CS700522,,Unisex Swimming Cap,Accessories,Swimming Cap,accessories,Unisex,female|male,,,0,0,0,0,,sports,,both_equally,alone|group_classes|with_friend_partner,group_bundle|pairable,0,,workouts:sports | priority:both_equally | social:alone/group_classes/with_friend_partner,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1
CS700523,,Unisex Swimming Cap,Accessories,Swimming Cap,accessories,Unisex,female|male,,,0,0,0,0,,sports,,both_equally,alone|group_classes|with_friend_partner,group_bundle|pairable,0,,workouts:sports | priority:both_equally | social:alone/group_classes/with_friend_partner,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1
CS700524,,Unisex Swimming Cap,Accessories,Swimming Cap,accessories,Unisex,female|male,,,0,0,0,0,,sports,,both_equally,alone|group_classes|with_friend_partner,group_bundle|pairable,0,,workouts:sports | priority:both_equally | social:alone/group_classes/with_friend_partner,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1
CS700528,,Unisex Swimming Goggles,Accessories,Swimming Goggles,accessories,Unisex,female|male,,,0,0,0,0,,sports,,both_equally,alone|group_classes|with_friend_partner,group_bundle|pairable,0,,workouts:sports | priority:both_equally | social:alone/group_classes/with_friend_partner,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1
cs700536,,Pro Boxing Gloves 10 Oz,Accessories,Boxing Gloves,accessories,Unisex,female|male,,,0,0,0,0,,sports|strength,,function_first,alone|group_classes|with_friend_partner,group_bundle|pairable,0,,workouts:sports/strength | priority:function_first | social:alone/group_classes/with_friend_partner,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1
CS700543,,Cult Boxing Gloves for Men & Women  Foam Padding  Punching Bag Gloves for Boxing; Training; Kickboxing; Muay Thai; MMA  Black Yellow-White,Accessories,Boxing Gloves,accessories,Unisex,female|male,,,0,0,0,0,,sports|strength,,function_first,alone|group_classes|with_friend_partner,group_bundle|pairable,0,,workouts:sports/strength | priority:function_first | social:alone/group_classes/with_friend_partner,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1
CS700544,,Premium Leather Boxing Gloves 10 Oz,Accessories,Boxing Gloves,accessories,Unisex,female|male,,,0,0,0,0,,sports|strength,,function_first,alone|group_classes|with_friend_partner,group_bundle|pairable,0,,workouts:sports/strength | priority:function_first | social:alone/group_classes/with_friend_partner,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1
CS700545,,Premium Leather Boxing Gloves 12 Oz,Accessories,Boxing Gloves,accessories,Unisex,female|male,,,0,0,0,0,,sports|strength,,function_first,alone|group_classes|with_friend_partner,group_bundle|pairable,0,,workouts:sports/strength | priority:function_first | social:alone/group_classes/with_friend_partner,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1
CS700549,,Premium Leather Boxing Gloves 12 Oz,Accessories,Boxing Gloves,accessories,Unisex,female|male,,,0,0,0,0,,sports|strength,,function_first,alone|group_classes|with_friend_partner,group_bundle|pairable,0,,workouts:sports/strength | priority:function_first | social:alone/group_classes/with_friend_partner,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1
cs700555,,Cult Boxing Gloves for Men & Women  Foam Padding  Punching Bag Gloves for Boxing; Training; Kickboxing; Muay Thai; MMA  Red,Accessories,Boxing Gloves,accessories,Unisex,female|male,,,0,0,0,0,,sports|strength,,function_first,alone|group_classes|with_friend_partner,group_bundle|pairable,0,,workouts:sports/strength | priority:function_first | social:alone/group_classes/with_friend_partner,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1
cs700557,,Premium Leather Boxing Gloves 12 Oz,Accessories,Boxing Gloves,accessories,Unisex,female|male,,,0,0,0,0,,sports|strength,,function_first,alone|group_classes|with_friend_partner,group_bundle|pairable,0,,workouts:sports/strength | priority:function_first | social:alone/group_classes/with_friend_partner,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1
CS700593,,Pro Boxing Gloves 12 Oz,Accessories,Boxing Gloves,accessories,Unisex,female|male,,,0,0,0,0,,sports|strength,,function_first,alone|group_classes|with_friend_partner,group_bundle|pairable,0,,workouts:sports/strength | priority:function_first | social:alone/group_classes/with_friend_partner,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1
CS700595,,Cult Boxing Gloves for Men & Women  Foam Padding  Punching Bag Gloves for Boxing; Training; Kickboxing; Muay Thai; MMA  Grey,Accessories,Boxing Gloves,accessories,Unisex,female|male,,,0,0,0,0,,sports|strength,,function_first,alone|group_classes|with_friend_partner,group_bundle|pairable,0,,workouts:sports/strength | priority:function_first | social:alone/group_classes/with_friend_partner,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1
CS700599,,Cult Boxing Gloves for Men & Women  Foam Padding  Punching Bag Gloves for Boxing; Training; Kickboxing; Muay Thai; MMA  Black-Blue,Accessories,Boxing Gloves,accessories,Unisex,female|male,,,0,0,0,0,,sports|strength,,function_first,alone|group_classes|with_friend_partner,group_bundle|pairable,0,,workouts:sports/strength | priority:function_first | social:alone/group_classes/with_friend_partner,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1
CS700600,,Pro Boxing Gloves 10 Oz,Accessories,Boxing Gloves,accessories,Unisex,female|male,,,0,0,0,0,,sports|strength,,function_first,alone|group_classes|with_friend_partner,group_bundle|pairable,0,,workouts:sports/strength | priority:function_first | social:alone/group_classes/with_friend_partner,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1
CS700601,,Pro Boxing Gloves 12 Oz,Accessories,Boxing Gloves,accessories,Unisex,female|male,,,0,0,0,0,,sports|strength,,function_first,alone|group_classes|with_friend_partner,group_bundle|pairable,0,,workouts:sports/strength | priority:function_first | social:alone/group_classes/with_friend_partner,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1
CS700630,,Spill Proof Flip Top Shaker with Blender Ball,Accessories,Shakers,accessories,Unisex,female|male,,,0,0,0,0,,cardio|flexibility|sports|strength,,function_first,alone|group_classes|with_friend_partner,add_on|group_bundle|pairable,0,,workouts:cardio/flexibility/sports/strength | priority:function_first | social:alone/group_classes/with_friend_partner,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1
CS700631,,Spill Proof Flip Top Shaker with Blender Ball,Accessories,Shakers,accessories,Unisex,female|male,,,0,0,0,0,,cardio|flexibility|sports|strength,,function_first,alone|group_classes|with_friend_partner,add_on|group_bundle|pairable,0,,workouts:cardio/flexibility/sports/strength | priority:function_first | social:alone/group_classes/with_friend_partner,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1
CS701309,,Unisex Adjustable Sports Cap,Accessories,Cap,accessories,Unisex,female|male,,,0,0,0,0,,sports,,both_equally,alone|group_classes|with_friend_partner,add_on|group_bundle|pairable,0,,workouts:sports | priority:both_equally | social:alone/group_classes/with_friend_partner,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1
